"id","url","mime","filename"
"cp-2-enabling-conditions-guide-and-self-assessment","https://drive.google.com/file/d/1ZyXwVuTsRqPoNmLkJiHgFeDcBa987654/view?usp=sharing","application/pdf","cp-2-enabling-conditions-guide-and-self-assessment Enabling Conditions Guide.pdf"
"rr-2-enabling-conditions-guide-and-self-assessment","https://drive.google.com/file/d/1QwErTyUiOpAsDfGhJkLzXcVbNm135790/view?usp=sharing","application/pdf","rr-2-enabling-conditions-guide-and-self-assessment Enabling Conditions Guide.pdf"
"li-1-year-1-white-paper-from-innovation-to-infrastruc","https://drive.google.com/file/d/1AbCdEfGhIjKlMnOpQrStUvWxYz012345/view?usp=sharing","application/pdf","li-1-year-1-white-paper-from-innovation-to-infrastruc From Innovation to Infrastructure.pdf"
"rdc-2-enabling-conditions-guide-and-self-assessment","https://drive.google.com/file/d/1MnBvCxZaSdFgHjKlPoIuYtReW246813/view?usp=sharing","application/pdf","rdc-2-enabling-conditions-guide-and-self-assessment Enabling Conditions Guide.pdf"
"li-1-partner-handbook","https://drive.google.com/file/d/1PoIuYtReWqAsDfGhJkLzMxNcB864209/view?usp=sharing","application/pdf","li-1-partner-handbook IGNITE Partner Handbook.pdf"
"li-1-visual-improvement-pathway","https://drive.google.com/file/d/1LkJhGfDsApOiUyTrEwQzXcVbN975310/view?usp=sharing","application/pdf","li-1-visual-improvement-pathway Visual Improvement Pathway.pdf"
"collab-full-collection","https://drive.google.com/file/d/14888iy4pJJ4Q5ZaeB1izKZFtHNMwTyHw/view","application/pdf","collab-full-collection Opening Doors to Collaboration (Full Collection).pdf"
"collab-co-planning-differentiated-instruction","https://drive.google.com/file/d/1ISfi0VtQcyVhOiinN4JBUyL9Y9f8xqJe/view","application/pdf","collab-co-planning-differentiated-instruction Co-Planning for Differentiated Instruction.pdf"
"collab-student-work-analysis","https://drive.google.com/file/d/1uAlba1n1M16OdbfHUqhI8hjk5zOMkvKv/view","application/pdf","collab-student-work-analysis A Collaborative Approach to Student Work Analysis.pdf"
"collab-high-impact-co-teaching","https://drive.google.com/file/d/16IhFucY9Xcgldkm5Xv7pBEUejw3mgcFm/view","application/pdf","collab-high-impact-co-teaching Achieving High-Impact Co-Teaching: A Gradual Release Model.pdf"
"collab-green-dot-case-study","https://drive.google.com/file/d/1s1SMY7f5Vu0JkFKh2Wfd9jMkAYAWE9RP/view","application/pdf","collab-green-dot-case-study How Quarterly Professional Development Cycles Helped a Network Maximize Data-Driven Co-Planning for Co-Teachers: Green Dot Public Schools.pdf"
"collab-launch-collaborative-teams","https://drive.google.com/file/d/1I18FQ1Kr6jmHrkm7Spce5QnQrkCfbOt2/view","application/pdf","collab-launch-collaborative-teams How-To: Launch Effective Collaborative Teams.pdf"
"collab-coaching-collaborative-teams","https://drive.google.com/file/d/1jUknD154n0S8CMLL3nkfVedlbCUVNgfU/view","application/pdf","collab-coaching-collaborative-teams How-To: Establishing Coaching for Collaborative Teams.pdf"
"lit-full-collection","https://drive.google.com/file/d/1IijJ3_vNu0Kt1MvZEIRBzx7k4FOwtfFL/view","application/pdf","lit-full-collection Turning the Page to Secondary Literacy (Full Collection).pdf"
"lit-tiered-assessment","https://drive.google.com/file/d/1n0KFgh2Emd7Ji13Eu9pPa-wAMJYGvLEh/view","application/pdf","lit-tiered-assessment Guiding Literacy Interventions Through Tiered Assessment.pdf"
"lit-repeated-reading","https://drive.google.com/file/d/1NaPM47On1-fkVdrEXR3JhKLi0ED7W_Mk/view","application/pdf","lit-repeated-reading Repeated Reading: Building Oral Reading Fluency in Secondary Readers.pdf"
"lit-multisyllabic-word-reading","https://drive.google.com/file/d/1f0q7Hh-JvgIeSFG5CYW2lKt4gGy8SGr7/view","application/pdf","lit-multisyllabic-word-reading Developing Multisyllabic Word Reading Skills in Adolescent Readers.pdf"
"lit-goal-setting-progress-monitoring","https://drive.google.com/file/d/10xCvWZsf9qNOPxrO9s8ZMUleQhtr0Bq8/view","application/pdf","lit-goal-setting-progress-monitoring Strengthening Timely Interventions Through Goal Setting and Progress Monitoring.pdf"
"lit-educator-capacity-case-study","https://drive.google.com/file/d/1aDXZ4RRG_NVrh8JaRMU7KSKaWSLkR1_U/view","application/pdf","lit-educator-capacity-case-study Enhancing Educator Capacity to Implement Evidence-Based Reading Interventions for Secondary Readers.pdf"
"mtss-full-collection","https://drive.google.com/file/d/1yt__bgUPyzsKYd-ehYlfV5Ii3KiUH9uo/view","application/pdf","mtss-full-collection Navigating Data for Multi-Tiered Systems of Support (Full Collection).pdf"
"mtss-routine-data-cycles","https://drive.google.com/file/d/1LnD-rGatYNBQbNfFBsqd7hdWFj1bLiit/view","application/pdf","mtss-routine-data-cycles Implementing Routine Data Cycles to Rapidly Address Student Needs.pdf"
"mtss-site-based-data-routines","https://drive.google.com/file/d/1mbRbTXhuCMUgh5P440z_Wj5AH1-xtGbo/view","application/pdf","mtss-site-based-data-routines Establishing Effective Data Routines in Site-Based Teams.pdf"
"mtss-student-conferencing","https://drive.google.com/file/d/1BaF2SFd6OfjuEsI4oEFo66IYDYOV3Cwg/view","application/pdf","mtss-student-conferencing Student Conferencing for Life and Academic Skills.pdf"
"mtss-green-dot-case-study","https://drive.google.com/file/d/12EbHgOeKDflnZOXpoAVYfq8c3pRWUdO6/view","application/pdf","mtss-green-dot-case-study How Network Leaders Use Data to Respond to School-Based Needs: Green Dot Public Schools.pdf"
"mtss-strive-text-messaging-case-study","https://drive.google.com/file/d/1uMTDQq6r644kcaYoRyXnIOa3GpRCu_-U/view","application/pdf","mtss-strive-text-messaging-case-study How to Improve Family Engagement with Text Messaging: STRIVE Prep.pdf"
"mtss-data-dashboard-how-to","https://drive.google.com/file/d/1y1eRxB5h_zSn0CikYyy5nl_FyDVb1I1y/view","application/pdf","mtss-data-dashboard-how-to How-To: Design and Prototype a Data Dashboard.pdf"
"post-full-collection","https://drive.google.com/file/d/1WksU9q_pGxaUhgS6U4wOZ53-WAf_BGjn/view","application/pdf","post-full-collection Igniting Postsecondary Aspirations (Full Collection).pdf"
"post-school-based-transition-teams","https://drive.google.com/file/d/132ofXXYqPat4e9hoEty8Zr7dvyuJpBQD/view","application/pdf","post-school-based-transition-teams Building School-Based Transition Teams to Accelerate Student Progress Toward Postsecondary Goals.pdf"
"post-external-partnerships","https://drive.google.com/file/d/1cpuHWBl9z_2Ue_e0coSYnScxYlgucuGi/view","application/pdf","post-external-partnerships Establishing External Partnerships to Strengthen Work-Based Learning Opportunities.pdf"
"post-summer-transition-programming","https://drive.google.com/file/d/1bvqRvor0wKSLVi9UNjPiikFi2uqNeZ-3/view","application/pdf","post-summer-transition-programming Providing Summer Transition Programming for Postsecondary Success.pdf"
"post-uncommon-families-case-study","https://drive.google.com/file/d/1ZePADr8WA8c6eavPefx49m692ybRjgLc/view","application/pdf","post-uncommon-families-case-study Partnering with Families to Expand Enrollment in Community-Based Programs: Uncommon Schools.pdf"
"post-uncommon-alumni-coaches-case-study","https://drive.google.com/file/d/1m5d98iHTMuI-CF7Pnw0ImacylxZuD2GH/view","application/pdf","post-uncommon-alumni-coaches-case-study Developing Relationships Between Students and Alumni Success Coaches: Uncommon Schools.pdf"
"emot-full-collection","https://drive.google.com/file/d/18LFp4ZhF2_t97LR624aX6EYnme5r6WmB/view","application/pdf","emot-full-collection Anchoring Emotions (Full Collection).pdf"
"emot-peer-mentorship","https://drive.google.com/file/d/1TyXVG9nNMMhfQVAFPk_nomXfcpFathVo/view","application/pdf","emot-peer-mentorship Building Student Leaders: Peer-to-Peer Mentorship for Secondary Students.pdf"
"emot-behavioral-feedback","https://drive.google.com/file/d/1ncPc2_ppsfi6p5Tm3J-TgwNtfs3x4ZZD/view","application/pdf","emot-behavioral-feedback Providing Timely Behavioral Feedback Across Classrooms.pdf"
"emot-data-informed-systems-case-study","https://drive.google.com/file/d/1GlvG2bm8j5AleK_GCs31fKY-6WRAQcvB/view","application/pdf","emot-data-informed-systems-case-study Maximizing Student Progress Through Data-Informed Systems: Mastery Schools.pdf"
"emot-quarterly-evaluation-case-study","https://drive.google.com/file/d/1EboQLfEd8Us-8wVT8MazeldVn0WlAHNj/view","application/pdf","emot-quarterly-evaluation-case-study Refining Program Implementation via Quarterly Collaborative Evaluation at Mastery Schools.pdf"
