"id","module","title","format","priority","focal","focal_order","status","published","summary","who_for","audience","link_type","link_url","video_url","extra_files","image","license","date_published","r2i_attribution","owner","source_file","tags","related","note","gated"
"rr-1-practice-intro-video-cross-network","Overview","Practice Intro Video (Cross-Network)","Video","","FALSE","","planned","FALSE","","","","embed","","","","","","","","","","","",""
"rr-1-executive-summary","Overview","Executive Summary","Document","Must Have","TRUE","1","in_progress","FALSE","","","","download","","","","","","","","Stephanie","","","","copy edits"
"rr-1-training-deck-module-1-introduction","Overview","Training Deck — Module 1: Introduction","Deck","Must Have","TRUE","2","in_progress","FALSE","","","","download","","","","","","","","","","","",""
"rr-1-protocol-core-components","Overview","Protocol / Core Components","Protocol","Must Have","TRUE","3","ready","FALSE","","","","download","","","","","","","","Kelley","","","","need 2-day & 4-5 day versions"
"rr-1-infographic-and-impact-data","Overview","Infographic and Impact Data","Infographic","Must Have","FALSE","","planned","FALSE","","","","download","","","","","","","","Stephanie","","","","needs cleared data"
"rr-1-quick-start-sheet-2-pager","Overview","Quick-Start Sheet (2-Pager)","Document","Nice to Have","FALSE","","planned","FALSE","","","","download","","","","","","","","","","","","need to create"
"rr-2-training-deck-leader-training-on-enabling-condit","Infrastructure & Enabling Conditions","Training Deck — Leader Training on Enabling Conditions","Deck","Must Have","FALSE","","ready","FALSE","","","","download","","","","","","","","","","","",""
"rr-2-enabling-conditions-guide-and-self-assessment","Infrastructure & Enabling Conditions","Enabling Conditions Guide and Self-Assessment","Tool","Must Have","TRUE","1","ready","TRUE","A guide and self-assessment for the infrastructure behind repeated reading — scheduling, materials, staff capacity — so teams can spot gaps in enabling conditions and plan fixes.","","","download","","","","","","","","","[CoLab IGNITE] Enabling Conditions: A guide for leaders.pdf","","","cross-practice"
"rr-2-self-assessment","Infrastructure & Enabling Conditions","Self-Assessment","Tool","Must Have","FALSE","","planned","FALSE","","","","download","","","","","","","","","[CCSA] School Leader RR Logistics & Design Handout","","",""
"rr-2-scaling-rr-to-whole-class-whole-school","Infrastructure & Enabling Conditions","Scaling RR to Whole-Class / Whole-School","Document","Must Have","FALSE","","ready","FALSE","","","","download","","","","","","","","","","","",""
"rr-2-scheduling-planning-guidance","Infrastructure & Enabling Conditions","Scheduling & Planning Guidance","Document","Must Have","FALSE","","ready","FALSE","","","","download","","","","","","","","","[Marshall R2I] Scheduling & Planning Guidance for RR.pdf","","",""
"rr-2-protocol-for-staff-supporting-rr","Infrastructure & Enabling Conditions","Protocol for Staff Supporting RR","Protocol","Must Have","FALSE","","ready","FALSE","","","","download","","","","","","","","","","","",""
"rr-2-training-deck-module-2-protocol-implementation","Infrastructure & Enabling Conditions","Training Deck — Module 2: Protocol & Implementation","Deck","Must Have","FALSE","","ready","FALSE","","","","download","","","","","","","","","","","",""
"rr-2-educator-logistics-design-sheet","Infrastructure & Enabling Conditions","Educator Logistics & Design Sheet","Document","","FALSE","","in_progress","FALSE","","","","download","","","","","","","","","","","",""
"rr-2-common-models","Infrastructure & Enabling Conditions","Common Models","Document","","FALSE","","planned","FALSE","","","","download","","","","","","","","","","","",""
"rr-2-implementing-rr-across-multiple-tiers","Infrastructure & Enabling Conditions","Implementing RR Across Multiple Tiers","Document","Must Have","FALSE","","ready","FALSE","","","","download","","","","","","","","","","","","design in progress"
"rr-2-staff-training-launch-resource","Infrastructure & Enabling Conditions","Staff Training / Launch Resource","Protocol","Must Have","FALSE","","in_progress","FALSE","","","","download","","","","","","","","","","","","needs revision"
"rr-3-getting-started-guide","Getting Started","Getting Started Guide","Document","Must Have","TRUE","1","in_progress","FALSE","","","","download","","","","","","","","","","","","round 2 review"
