"id","module","title","format","priority","focal","focal_order","status","published","summary","who_for","audience","link_type","link_url","video_url","extra_files","image","license","date_published","r2i_attribution","owner","source_file","tags","related","note"
"rdc-1-practice-intro-video-cross-network","Overview","Practice Intro Video (Cross-Network)","Video","","FALSE","","planned","FALSE","","","","embed","","","","","","","","","","","",""
"rdc-1-executive-summary","Overview","Executive Summary","Document","Must Have","TRUE","1","in_progress","FALSE","","","","download","","","","","","","","IGNITE Newark (NJCF)","[Marshall R2I] ROUTINE DATA CYCLES- Executive Summary.pdf","","","with Newark"
"rdc-1-training-deck-module-1-introduction","Overview","Training Deck — Module 1: Introduction","Deck","Must Have","TRUE","2","ready","FALSE","","","","download","","","","","","","","","","","",""
"rdc-1-template-protocol","Overview","Template Protocol","Document","Must Have","FALSE","","in_progress","FALSE","","","","download","","","","","","","","Stephanie","","","","need to create"
"rdc-1-infographic-and-impact-data","Overview","Infographic and Impact Data","Infographic","Must Have","FALSE","","planned","FALSE","","","","download","","","","","","","","Stephanie","","","","needs cleared data"
"rdc-2-training-deck-module-2-getting-started","Infrastructure & Enabling Conditions","Training Deck — Module 2: Getting Started","Deck","Must Have","FALSE","","ready","FALSE","","","","download","","","","","","","","","","","",""
"rdc-2-enabling-conditions-guide-and-self-assessment","Infrastructure & Enabling Conditions","Enabling Conditions Guide and Self-Assessment","Tool","Must Have","TRUE","1","ready","TRUE","","","","download","","","","","","","","IGNITE Newark (NJCF)","[CoLab IGNITE] Enabling Conditions: A guide for leaders.pdf","","","cross-practice"
"rdc-2-case-study-1-enabling-conditions","Infrastructure & Enabling Conditions","Case Study 1 — Enabling Conditions","Case Study","Must Have","FALSE","","planned","FALSE","","","","download","","","","","","","","","","","","need to write"
"rdc-2-self-assessment","Infrastructure & Enabling Conditions","Self-Assessment","Tool","Must Have","FALSE","","ready","FALSE","","","","download","","","","","","","","Kelley","","","",""
"rdc-2-vision-setting","Infrastructure & Enabling Conditions","Vision Setting","Document","","FALSE","","planned","FALSE","","","","download","","","","","","","","","","","",""
"rdc-2-getting-started-guide","Infrastructure & Enabling Conditions","Getting Started Guide","Document","Must Have","TRUE","2","ready","FALSE","","","","download","","","","","","","","","","","",""
"rdc-2-equivalent-of-collaboration-mapping","Infrastructure & Enabling Conditions","Equivalent of Collaboration Mapping","Tool","","FALSE","","planned","FALSE","","","","download","","","","","","","","","","","",""
"rdc-3-leader-videos-tbd","Getting Started","Leader Videos (TBD)","Video","Must Have","FALSE","","planned","FALSE","","","","embed","","","","","","","","","","","",""
"rdc-3-training-deck-module-3-identifying-trends-settin","Getting Started","Training Deck — Module 3: Identifying Trends & Setting Goals","Deck","Must Have","FALSE","","ready","FALSE","","","","download","","","","","","","","Allison R","","","",""
"rdc-3-training-deck-modules-4-5-planning-from-data-adv","Getting Started","Training Deck — Modules 4–5: Planning from Data & Advanced","Deck","Must Have","FALSE","","ready","FALSE","","","","download","","","","","","","","","","","",""
"rdc-3-educator-logistics-design-sheet","Getting Started","Educator Logistics & Design Sheet","Document","Must Have","FALSE","","planned","FALSE","","","","download","","","","","","","","","","","",""
"rdc-3-common-models","Getting Started","Common Models","Document","","FALSE","","planned","FALSE","","","","download","","","","","","","","","","","",""
"rdc-3-rdc-protocol-process-agenda","Getting Started","RDC Protocol + Process Agenda","Protocol","Must Have","FALSE","","planned","FALSE","","","","download","","","","","","","","","","","","need to create"
"rdc-3-how-to-guide-for-data-tool-dashboard","Getting Started","How-To Guide for Data Tool / Dashboard","Document","","FALSE","","in_progress","FALSE","","","","download","","","","","","","","","","","","needs revision"
"rdc-4-using-exit-tickets-to-drive-mastery","Detailed Practice in Action","Using Exit Tickets to Drive Mastery","Document","Must Have","FALSE","","ready","FALSE","","","","download","","","","","","","","","","","",""
"rdc-4-case-study-2-practice-expansion-at-crown-prep","Detailed Practice in Action","Case Study 2 — Practice Expansion at Crown Prep","Case Study","Must Have","FALSE","","in_progress","FALSE","","","","download","","","","","","","","Kelley","","","","need to write"
